128169;pile of poo;1
129313;clown face;0
128121;ogre;0
128122;goblin;1
128123;ghost;1
128125;alien;0
129302;robot;1
129304;sign of the horns;0
128077;thumbs up;0
128078;thumbs down;1
128170;flexed biceps;0
128064;eyes;0
128065;eye;1
128069;tongue;0
128068;mouth;1
128018;monkey;0
128021;dog;1
128008;cat;0
128005;tiger;0
128014;horse;0
128004;cow;1
128022;pig;1
128016;goat;1
128042;camel;1
128024;elephant;0
129423;rhinoceros;0
128001;mouse;0
128007;rabbit;1
128063;chipmunk;0
129415;bat;1
128036;baby chick;1
128020;chicken;0
128039;penguin;1
129414;duck;0
129417;owl;0
128056;frog;0
128010;crocodile;0
128034;turtle;1
129422;lizard;0
128013;snake;0
128011;whale;0
128044;dolphin;0
128031;fish;0
128025;octopus;1
128012;snail;0
129419;butterfly;0
128028;ant;0
128029;honeybee;1
128375;spider;0
128376;spider web;0
9917;soccer ball;0
9918;baseball;0
127936;basketball;1
127952;volleyball;0
127944;american football;0
127934;tennis;1
127923;bowling;1
129354;boxing glove;0
127880;balloon;1
128273;key;1
128274;locked;0
128296;hammer;0
128682;door;0
128719;bed;0
129408;crab;0
129370;egg;0
129363;bacon;0
127828;hamburger;1
127839;french fries;1
127829;pizza;0
129472;cheese wedge;1
127838;bread;1
129360;croissant;1
129366;baguette bread;1
129361;avocado;1
127814;eggplant;1
129364;potato;0
129365;carrot;0
127812;mushroom;1
127798;hot pepper;1
127825;peach;0
127826;cherries;1
127827;strawberry;0
127820;banana;1
127821;pineapple;0
127817;watermelon;0
128521;winking face;0
